PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss
27439,26677,158719,160171,6400,0
27447,26679,158707,160172,6410,0
27434,26687,158686,160152,6420,0
27450,26707,158715,160193,6430,0
27444,26719,158702,160165,6440,0
27502,26747,158653,160169,6450,0
27399,26674,158696,160202,6460,0
27447,26699,158859,160178,6470,0
27485,26752,158507,160163,6480,0
27398,26658,158800,160048,6490,0
27437,26718,158734,160203,6500,0
27336,26668,158730,160148,6510,0
27624,26727,158717,160181,6520,0
27278,26696,158681,160160,6530,0
27443,26706,158690,160181,6540,0
27440,26657,158671,160163,6550,0
27437,26691,158675,160170,6560,0
27452,26705,158687,160148,6570,0
27420,26438,158728,160196,6580,0
27284,26266,158693,160156,6590,0
27445,26722,158728,160222,6600,0
27392,26644,158707,160174,6610,0
27451,26702,158655,160107,6620,0
27484,26747,158671,160137,6630,0
27431,26676,158718,160176,6640,0
27417,26680,158693,160158,6650,0
27432,26700,158660,160135,6660,0
27552,26806,159237,160743,6670,0
27830,27078,163470,165069,6680,0
27859,27103,163357,164982,6690,0
27907,27166,163309,165005,6700,0
27827,27057,163661,165041,6710,0
27848,27101,163207,165013,6720,0
27890,27170,163387,165046,6730,0
27814,27060,163460,165012,6740,0
27808,27139,163353,164967,6750,0
28168,27389,163433,165033,6760,0
27954,27093,163372,164978,6770,0
27699,27134,163425,165026,6780,0
27861,27074,163414,165002,6790,0
27919,27135,163060,164731,6800,0
27868,27088,163435,165035,6810,0
27837,27069,163399,164996,6820,0
27917,27167,163376,164924,6830,0
27876,27106,163394,164998,6840,0
27844,27083,163454,165075,6850,0
27741,27036,163277,164879,6860,0
27897,27138,163354,164939,6870,0
27870,27128,163442,165047,6880,0
27851,27099,163408,165015,6890,0
27889,27125,163373,164964,6900,0
27901,27130,163387,164981,6910,0
28145,27394,163406,165001,6920,0
27895,27146,163382,164971,6930,0
27826,27070,163408,165011,6940,0
27835,27076,163289,164971,6950,0
27898,27151,163607,165011,6960,0
27899,27152,163250,165003,6970,0
27895,27156,163336,165018,6980,0
27815,27070,163438,165023,6990,0
27803,27127,163341,164956,7000,0
27974,27152,163387,164995,7010,0
27931,27092,163435,165045,7020,0
27658,27055,163355,164976,7030,0
27959,27008,162936,164550,7040,0
27868,27095,163388,165009,7050,0
27885,27134,163336,164954,7060,0
27878,27119,163411,164935,7070,0
28043,27309,163411,165024,7080,0
27887,27132,163344,164930,7090,0
27893,27151,163399,165020,7100,0
27842,27074,163723,165356,7110,0
27857,26968,163384,164997,7120,0
27905,27165,163350,164940,7130,0
27853,27114,163399,165005,7140,0
27841,27086,163437,165037,7150,0
27834,27078,163355,164966,7160,0
27954,26989,163395,165018,7170,0
27942,27193,163417,164992,7180,0
28314,27537,163359,164959,7190,0
28266,27500,163359,165004,7200,0
28304,27526,163572,164960,7210,0
28302,27535,163171,164674,7220,0
28244,27501,163396,165005,7230,0
28273,27506,163367,164974,7240,0
28205,27536,163358,164968,7250,0
28402,27528,163543,165157,7260,0
28235,27466,163402,165001,7270,0
28170,27510,163332,164944,7280,0
28377,27550,163393,165007,7290,0
28274,27466,163389,165019,7300,0
28279,27515,163381,164974,7310,0
28302,27521,163340,164946,7320,0
28254,27296,163380,164983,7330,0
28244,27486,163417,165025,7340,0
28288,27505,163352,164967,7350,0
28284,27507,163497,165066,7360,0
28313,27545,163402,165007,7370,0
28317,27555,163369,164970,7380,0
27946,27140,163363,164982,7390,0
28306,27511,163357,164980,7400,0
28307,27526,163368,164981,7410,0
28237,27460,163362,164962,7420,0
28279,27520,163344,164954,7430,0
28287,27522,163330,164982,7440,0
28233,27471,163449,164970,7450,0
28284,27524,163376,164941,7460,0
28276,27503,163252,165015,7470,0
28173,27466,163391,165004,7480,0
28263,27519,163399,164992,7490,0
28240,27518,163374,164955,7500,0
28400,27472,163467,165068,7510,0
